id,price,bedrooms,bathrooms,floors,sqft_basement,yr_built,yr_renovated,house_age,renovation_status,years_since_renovation
1,171958,4,1,1,121,1965,2009,61,Renovated,17.0
2,721155,1,2,2,142,1961,2008,65,Renovated,18.0
3,181932,5,1,1,993,1966,2014,60,Renovated,12.0
4,415838,2,3,2,105,1965,1992,61,Renovated,34.0
5,309178,2,1,2,886,1961,2010,65,Renovated,16.0
6,694167,5,1,2,427,1957,2003,69,Renovated,23.0
7,160268,4,2,2,1328,1952,2009,74,Renovated,17.0
8,782180,2,2,1,316,1965,2003,61,Renovated,23.0
9,104886,4,3,1,634,1979,2010,47,Renovated,16.0
10,187337,2,1,2,8,1972,2016,54,Renovated,10.0
11,571430,2,1,2,773,1954,2002,72,Renovated,24.0
12,137498,3,1,2,1096,2014,2015,12,Renovated,11.0
13,225203,2,3,1,1382,1979,2016,47,Renovated,10.0
14,241335,1,3,1,222,1970,2014,56,Renovated,12.0
15,328167,5,2,1,1439,2019,1990,7,Renovated,36.0
16,91090,5,2,1,552,1971,2013,55,Renovated,13.0
17,379365,4,2,2,1393,2021,1991,5,Renovated,35.0
18,114820,2,1,2,715,1981,1996,45,Renovated,30.0
19,371879,1,1,2,1287,1982,2021,44,Renovated,5.0
20,768315,4,2,1,1341,1965,1994,61,Renovated,32.0
21,377069,3,1,1,1107,1987,2011,39,Renovated,15.0
22,249041,4,2,1,1341,1963,2013,63,Renovated,13.0
23,153355,4,3,2,110,1985,2007,41,Renovated,19.0
24,285796,2,2,2,250,1972,1993,54,Renovated,33.0
25,264176,3,3,1,382,2015,1999,11,Renovated,27.0
26,234779,4,1,2,6,1951,2000,75,Renovated,26.0
27,397449,1,2,1,458,2022,1998,4,Renovated,28.0
28,471909,1,1,1,1107,2014,1996,12,Renovated,30.0
29,308795,5,3,2,207,2016,2012,10,Renovated,14.0
30,536232,3,3,1,899,2001,2016,25,Renovated,10.0
31,550186,3,3,2,1413,2011,2009,15,Renovated,17.0
32,206730,5,1,1,1337,1972,1996,54,Renovated,30.0
33,434681,4,1,2,21,1975,1997,51,Renovated,29.0
34,199503,3,1,2,409,2017,2003,9,Renovated,23.0
35,704811,1,1,2,894,2004,2006,22,Renovated,20.0
36,577035,1,3,1,514,1955,2008,71,Renovated,18.0
37,698143,2,3,1,1150,1984,1994,42,Renovated,32.0
38,502366,3,2,2,808,1971,2000,55,Renovated,26.0
39,115725,4,2,2,873,1992,1990,34,Renovated,36.0
40,179981,5,1,1,13,1964,1995,62,Renovated,31.0
41,134654,5,3,1,970,2009,2004,17,Renovated,22.0
42,641723,4,3,1,977,1961,1991,65,Renovated,35.0
43,369030,2,3,2,1013,1998,1991,28,Renovated,35.0
44,378947,5,2,1,1035,1991,2015,35,Renovated,11.0
45,605839,3,2,1,86,1987,2021,39,Renovated,5.0
46,323538,2,3,2,908,1994,2016,32,Renovated,10.0
47,381236,3,3,1,1324,1984,0,42,Not Renovated,
48,578178,1,3,1,1266,1979,1996,47,Renovated,30.0
